fecha,anio,mes,ICEN,ONI,SSN
1950-01-01,1950,1,-0.75,-1.32,143.9
1950-02-01,1950,2,-1.07,-1.2,134.3
1950-03-01,1950,3,-1.25,-1.12,155.4
1950-04-01,1950,4,-1.18,-1.08,160.6
1950-05-01,1950,5,-1.22,-1.1,150.5
1950-06-01,1950,6,-1.05,-0.9,118.3
1950-07-01,1950,7,-0.8,-0.62,128.9
1950-08-01,1950,8,-0.67,-0.57,120.6
1950-09-01,1950,9,-0.49,-0.56,72.7
1950-10-01,1950,10,-0.77,-0.62,87.0
1950-11-01,1950,11,-0.71,-0.66,77.7
1950-12-01,1950,12,-0.53,-0.79,76.7
1951-01-01,1951,1,-0.3,-0.66,85.0
1951-02-01,1951,2,-0.23,-0.36,84.8
1951-03-01,1951,3,-0.18,-0.04,79.3
1951-04-01,1951,4,0.26,0.16,131.7
1951-05-01,1951,5,1.09,0.27,153.7
1951-06-01,1951,6,1.84,0.5,142.4
1951-07-01,1951,7,2.13,0.71,87.2
1951-08-01,1951,8,1.74,0.9,86.5
1951-09-01,1951,9,1.32,1.02,117.7
1951-10-01,1951,10,1.16,1.03,73.3
1951-11-01,1951,11,1.0,0.96,74.2
1951-12-01,1951,12,0.7,0.71,65.0
1952-01-01,1952,1,0.41,0.52,57.9
1952-02-01,1952,2,0.25,0.27,32.4
1952-03-01,1952,3,-0.07,0.33,31.5
1952-04-01,1952,4,-0.28,0.18,41.7
1952-05-01,1952,5,-0.46,-0.07,33.6
1952-06-01,1952,6,-0.45,-0.44,52.0
1952-07-01,1952,7,-0.56,-0.45,56.1
1952-08-01,1952,8,-0.7,-0.2,77.8
1952-09-01,1952,9,-0.54,0.03,40.4
1952-10-01,1952,10,-0.44,0.04,34.2
1952-11-01,1952,11,-0.13,-0.11,31.8
1952-12-01,1952,12,-0.06,0.06,48.9
1953-01-01,1953,1,0.23,0.25,37.9
1953-02-01,1953,2,0.63,0.5,5.9
1953-03-01,1953,3,1.25,0.48,14.7
1953-04-01,1953,4,1.6,0.56,39.6
1953-05-01,1953,5,1.54,0.77,18.3
1953-06-01,1953,6,1.11,0.74,31.5
1953-07-01,1953,7,0.79,0.63,12.7
1953-08-01,1953,8,0.71,0.68,33.6
1953-09-01,1953,9,0.61,0.59,28.0
1953-10-01,1953,10,0.51,0.78,12.3
1953-11-01,1953,11,0.22,0.52,2.5
1953-12-01,1953,12,-0.35,0.56,3.9
1954-01-01,1954,1,-0.75,0.41,0.4
1954-02-01,1954,2,-1.0,0.35,0.8
1954-03-01,1954,3,-1.42,0.01,15.8
1954-04-01,1954,4,-1.93,-0.27,2.7
1954-05-01,1954,5,-2.23,-0.48,1.2
1954-06-01,1954,6,-2.09,-0.48,0.4
1954-07-01,1954,7,-1.7,-0.67,7.3
1954-08-01,1954,8,-1.54,-0.83,12.6
1954-09-01,1954,9,-1.31,-0.73,2.3
1954-10-01,1954,10,-1.23,-0.52,10.5
1954-11-01,1954,11,-1.13,-0.4,13.4
1954-12-01,1954,12,-0.72,-0.44,11.3
1955-01-01,1955,1,-0.65,-0.5,33.4
1955-02-01,1955,2,-0.64,-0.48,29.9
1955-03-01,1955,3,-0.79,-0.58,7.3
1955-04-01,1955,4,-1.06,-0.76,16.4
1955-05-01,1955,5,-1.16,-0.78,41.3
