fecha,anio,mes,ICEN,ONI,SSN,precipitacion_mm
1950-01-01,1950,1,-0.75,-1.32,143.9,155.30981700861688
1950-02-01,1950,2,-1.07,-1.2,134.3,164.95582490201986
1950-03-01,1950,3,-1.25,-1.12,155.4,158.18062280836196
1950-04-01,1950,4,-1.18,-1.08,160.6,221.6879901033668
1950-05-01,1950,5,-1.22,-1.1,150.5,123.80281944738002
1950-06-01,1950,6,-1.05,-0.9,118.3,116.7611032972076
1950-07-01,1950,7,-0.8,-0.62,128.9,91.29759118505278
1950-08-01,1950,8,-0.67,-0.57,120.6,68.11875926940019
1950-09-01,1950,9,-0.49,-0.56,72.7,122.30801657896048
1950-10-01,1950,10,-0.77,-0.62,87.0,112.07840367373126
1950-11-01,1950,11,-0.71,-0.66,77.7,69.77987497436122
1950-12-01,1950,12,-0.53,-0.79,76.7,100.61187758812116
1951-01-01,1951,1,-0.3,-0.66,85.0,90.78907839411166
1951-02-01,1951,2,-0.23,-0.36,84.8,156.50803973253775
1951-03-01,1951,3,-0.18,-0.04,79.3,139.46403382053123
1951-04-01,1951,4,0.26,0.16,131.7,221.4488751969084
1951-05-01,1951,5,1.09,0.27,153.7,103.33028047805912
1951-06-01,1951,6,1.84,0.5,142.4,95.5464825728163
1951-07-01,1951,7,2.13,0.71,87.2,60.98633254581648
1951-08-01,1951,8,1.74,0.9,86.5,75.43634618487927
1951-09-01,1951,9,1.32,1.02,117.7,83.38715728489117
1951-10-01,1951,10,1.16,1.03,73.3,127.17908404328958
1951-11-01,1951,11,1.0,0.96,74.2,114.50314668561494
1951-12-01,1951,12,0.7,0.71,65.0,194.9625961941944
1952-01-01,1952,1,0.41,0.52,57.9,200.9024975454265
1952-02-01,1952,2,0.25,0.27,32.4,185.6078011919525
1952-03-01,1952,3,-0.07,0.33,31.5,253.95759746167
1952-04-01,1952,4,-0.28,0.18,41.7,232.96549641914208
1952-05-01,1952,5,-0.46,-0.07,33.6,137.39275742434128
1952-06-01,1952,6,-0.45,-0.44,52.0,113.76436655825928
1952-07-01,1952,7,-0.56,-0.45,56.1,73.63325905824213
1952-08-01,1952,8,-0.7,-0.2,77.8,54.541138984221824
1952-09-01,1952,9,-0.54,0.03,40.4,88.32860683449952
1952-10-01,1952,10,-0.44,0.04,34.2,119.53359430147007
1952-11-01,1952,11,-0.13,-0.11,31.8,109.61886753051732
1952-12-01,1952,12,-0.06,0.06,48.9,95.39524188259416
1953-01-01,1953,1,0.23,0.25,37.9,191.6055956669316
1953-02-01,1953,2,0.63,0.5,5.9,266.03601341928845
1953-03-01,1953,3,1.25,0.48,14.7,321.5273647468734
1953-04-01,1953,4,1.6,0.56,39.6,311.98620390033267
1953-05-01,1953,5,1.54,0.77,18.3,152.8235542187827
1953-06-01,1953,6,1.11,0.74,31.5,104.78510198787308
1953-07-01,1953,7,0.79,0.63,12.7,81.19130065782616
1953-08-01,1953,8,0.71,0.68,33.6,70.1745867105147
1953-09-01,1953,9,0.61,0.59,28.0,129.08625415669832
1953-10-01,1953,10,0.51,0.78,12.3,118.24703616959484
1953-11-01,1953,11,0.22,0.52,2.5,131.35581413349294
1953-12-01,1953,12,-0.35,0.56,3.9,62.64856269636099
1954-01-01,1954,1,-0.75,0.41,0.4,187.07608208857425
1954-02-01,1954,2,-1.0,0.35,0.8,110.31134583719944
1954-03-01,1954,3,-1.42,0.01,15.8,268.0364492236573
1954-04-01,1954,4,-1.93,-0.27,2.7,184.1337489593872
1954-05-01,1954,5,-2.23,-0.48,1.2,96.27727254314554
1954-06-01,1954,6,-2.09,-0.48,0.4,79.5603826213314
1954-07-01,1954,7,-1.7,-0.67,7.3,71.68993482961599
