fecha,anio,mes,ICEN
1950-01-01,1950,1,-0.75
1950-02-01,1950,2,-1.07
1950-03-01,1950,3,-1.25
1950-04-01,1950,4,-1.18
1950-05-01,1950,5,-1.22
1950-06-01,1950,6,-1.05
1950-07-01,1950,7,-0.8
1950-08-01,1950,8,-0.67
1950-09-01,1950,9,-0.49
1950-10-01,1950,10,-0.77
1950-11-01,1950,11,-0.71
1950-12-01,1950,12,-0.53
1951-01-01,1951,1,-0.3
1951-02-01,1951,2,-0.23
1951-03-01,1951,3,-0.18
1951-04-01,1951,4,0.26
1951-05-01,1951,5,1.09
1951-06-01,1951,6,1.84
1951-07-01,1951,7,2.13
1951-08-01,1951,8,1.74
1951-09-01,1951,9,1.32
1951-10-01,1951,10,1.16
1951-11-01,1951,11,1.0
1951-12-01,1951,12,0.7
1952-01-01,1952,1,0.41
1952-02-01,1952,2,0.25
1952-03-01,1952,3,-0.07
1952-04-01,1952,4,-0.28
1952-05-01,1952,5,-0.46
1952-06-01,1952,6,-0.45
1952-07-01,1952,7,-0.56
1952-08-01,1952,8,-0.7
1952-09-01,1952,9,-0.54
1952-10-01,1952,10,-0.44
1952-11-01,1952,11,-0.13
1952-12-01,1952,12,-0.06
1953-01-01,1953,1,0.23
1953-02-01,1953,2,0.63
1953-03-01,1953,3,1.25
1953-04-01,1953,4,1.6
1953-05-01,1953,5,1.54
1953-06-01,1953,6,1.11
1953-07-01,1953,7,0.79
1953-08-01,1953,8,0.71
1953-09-01,1953,9,0.61
1953-10-01,1953,10,0.51
1953-11-01,1953,11,0.22
1953-12-01,1953,12,-0.35
1954-01-01,1954,1,-0.75
1954-02-01,1954,2,-1.0
1954-03-01,1954,3,-1.42
1954-04-01,1954,4,-1.93
1954-05-01,1954,5,-2.23
1954-06-01,1954,6,-2.09
1954-07-01,1954,7,-1.7
1954-08-01,1954,8,-1.54
1954-09-01,1954,9,-1.31
1954-10-01,1954,10,-1.23
1954-11-01,1954,11,-1.13
1954-12-01,1954,12,-0.72
1955-01-01,1955,1,-0.65
1955-02-01,1955,2,-0.64
1955-03-01,1955,3,-0.79
1955-04-01,1955,4,-1.06
1955-05-01,1955,5,-1.16
1955-06-01,1955,6,-1.17
1955-07-01,1955,7,-1.01
1955-08-01,1955,8,-0.94
1955-09-01,1955,9,-1.11
1955-10-01,1955,10,-1.2
1955-11-01,1955,11,-1.26
1955-12-01,1955,12,-1.1
1956-01-01,1956,1,-0.93
1956-02-01,1956,2,-0.61
1956-03-01,1956,3,-0.51
1956-04-01,1956,4,-0.42
1956-05-01,1956,5,-0.41
1956-06-01,1956,6,-0.04
1956-07-01,1956,7,0.19
1956-08-01,1956,8,0.08
1956-09-01,1956,9,-0.33
1956-10-01,1956,10,-0.54
1956-11-01,1956,11,-0.64
1956-12-01,1956,12,-0.83
1957-01-01,1957,1,-0.51
1957-02-01,1957,2,0.21
1957-03-01,1957,3,1.18
1957-04-01,1957,4,2.05
1957-05-01,1957,5,2.53
1957-06-01,1957,6,2.81
1957-07-01,1957,7,2.38
1957-08-01,1957,8,1.92
1957-09-01,1957,9,1.47
1957-10-01,1957,10,1.25
1957-11-01,1957,11,1.16
1957-12-01,1957,12,0.97
1958-01-01,1958,1,0.82
1958-02-01,1958,2,0.77
1958-03-01,1958,3,1.01
1958-04-01,1958,4,1.05
1958-05-01,1958,5,0.95
1958-06-01,1958,6,0.77
1958-07-01,1958,7,0.56
1958-08-01,1958,8,0.35
1958-09-01,1958,9,0.22
1958-10-01,1958,10,0.22
1958-11-01,1958,11,0.19
1958-12-01,1958,12,-0.07
1959-01-01,1959,1,-0.15
1959-02-01,1959,2,0.15
1959-03-01,1959,3,0.52
1959-04-01,1959,4,0.64
1959-05-01,1959,5,0.38
1959-06-01,1959,6,0.19
1959-07-01,1959,7,-0.05
1959-08-01,1959,8,-0.13
1959-09-01,1959,9,-0.09
1959-10-01,1959,10,0.28
1959-11-01,1959,11,0.41
1959-12-01,1959,12,0.36
1960-01-01,1960,1,0.14
1960-02-01,1960,2,0.15
1960-03-01,1960,3,-0.07
1960-04-01,1960,4,-0.2
1960-05-01,1960,5,-0.52
1960-06-01,1960,6,-0.55
1960-07-01,1960,7,-0.56
1960-08-01,1960,8,-0.27
1960-09-01,1960,9,-0.18
1960-10-01,1960,10,-0.05
1960-11-01,1960,11,-0.05
1960-12-01,1960,12,0.25
1961-01-01,1961,1,0.59
1961-02-01,1961,2,0.49
1961-03-01,1961,3,0.25
1961-04-01,1961,4,-0.14
1961-05-01,1961,5,-0.16
1961-06-01,1961,6,-0.38
1961-07-01,1961,7,-0.5
1961-08-01,1961,8,-0.61
1961-09-01,1961,9,-0.46
1961-10-01,1961,10,-0.29
1961-11-01,1961,11,-0.2
1961-12-01,1961,12,-0.12
1962-01-01,1962,1,-0.17
1962-02-01,1962,2,-0.6
1962-03-01,1962,3,-1.14
1962-04-01,1962,4,-1.34
1962-05-01,1962,5,-1.01
1962-06-01,1962,6,-0.63
1962-07-01,1962,7,-0.43
1962-08-01,1962,8,-0.28
1962-09-01,1962,9,-0.24
1962-10-01,1962,10,-0.27
1962-11-01,1962,11,-0.38
1962-12-01,1962,12,-0.3
1963-01-01,1963,1,-0.31
1963-02-01,1963,2,-0.21
1963-03-01,1963,3,-0.33
1963-04-01,1963,4,-0.18
1963-05-01,1963,5,-0.15
1963-06-01,1963,6,0.17
1963-07-01,1963,7,0.36
1963-08-01,1963,8,0.61
1963-09-01,1963,9,0.7
1963-10-01,1963,10,0.59
1963-11-01,1963,11,0.48
1963-12-01,1963,12,0.25
1964-01-01,1964,1,-0.14
1964-02-01,1964,2,-0.52
1964-03-01,1964,3,-0.75
1964-04-01,1964,4,-1.14
1964-05-01,1964,5,-1.24
1964-06-01,1964,6,-1.34
1964-07-01,1964,7,-1.05
1964-08-01,1964,8,-0.9
1964-09-01,1964,9,-0.79
1964-10-01,1964,10,-0.55
1964-11-01,1964,11,-0.58
1964-12-01,1964,12,-0.36
1965-01-01,1965,1,-0.17
1965-02-01,1965,2,0.26
1965-03-01,1965,3,0.94
1965-04-01,1965,4,1.62
1965-05-01,1965,5,2.1
1965-06-01,1965,6,2.03
1965-07-01,1965,7,1.93
1965-08-01,1965,8,1.59
1965-09-01,1965,9,1.35
1965-10-01,1965,10,1.04
1965-11-01,1965,11,1.03
1965-12-01,1965,12,1.01
1966-01-01,1966,1,0.64
1966-02-01,1966,2,0.02
1966-03-01,1966,3,-0.65
1966-04-01,1966,4,-1.0
1966-05-01,1966,5,-1.03
1966-06-01,1966,6,-0.93
1966-07-01,1966,7,-0.8
1966-08-01,1966,8,-0.6
1966-09-01,1966,9,-0.34
1966-10-01,1966,10,-0.26
1966-11-01,1966,11,-0.17
1966-12-01,1966,12,-0.32
1967-01-01,1967,1,-0.18
1967-02-01,1967,2,-0.3
1967-03-01,1967,3,-0.21
1967-04-01,1967,4,-0.27
1967-05-01,1967,5,-0.27
1967-06-01,1967,6,-0.4
1967-07-01,1967,7,-0.67
1967-08-01,1967,8,-0.95
1967-09-01,1967,9,-1.14
1967-10-01,1967,10,-1.24
1967-11-01,1967,11,-1.24
1967-12-01,1967,12,-1.21
1968-01-01,1968,1,-1.05
1968-02-01,1968,2,-0.95
1968-03-01,1968,3,-1.02
1968-04-01,1968,4,-1.2
1968-05-01,1968,5,-1.21
1968-06-01,1968,6,-0.89
1968-07-01,1968,7,-0.35
1968-08-01,1968,8,0.27
1968-09-01,1968,9,0.51
1968-10-01,1968,10,0.56
1968-11-01,1968,11,0.51
1968-12-01,1968,12,0.49
1969-01-01,1969,1,0.3
1969-02-01,1969,2,0.38
1969-03-01,1969,3,0.72
1969-04-01,1969,4,1.43
1969-05-01,1969,5,1.64
1969-06-01,1969,6,1.44
1969-07-01,1969,7,0.91
1969-08-01,1969,8,0.58
1969-09-01,1969,9,0.7
1969-10-01,1969,10,0.93
1969-11-01,1969,11,1.13
1969-12-01,1969,12,1.05
1970-01-01,1970,1,0.77
1970-02-01,1970,2,0.18
1970-03-01,1970,3,-0.3
1970-04-01,1970,4,-0.75
1970-05-01,1970,5,-1.0
1970-06-01,1970,6,-1.51
1970-07-01,1970,7,-1.57
1970-08-01,1970,8,-1.41
1970-09-01,1970,9,-0.94
1970-10-01,1970,10,-0.72
1970-11-01,1970,11,-0.62
1970-12-01,1970,12,-0.76
1971-01-01,1971,1,-0.91
1971-02-01,1971,2,-1.01
1971-03-01,1971,3,-0.78
1971-04-01,1971,4,-0.65
1971-05-01,1971,5,-0.72
1971-06-01,1971,6,-0.84
1971-07-01,1971,7,-0.88
1971-08-01,1971,8,-0.79
1971-09-01,1971,9,-0.85
1971-10-01,1971,10,-0.72
1971-11-01,1971,11,-0.67
1971-12-01,1971,12,-0.35
1972-01-01,1972,1,0.14
1972-02-01,1972,2,0.73
1972-03-01,1972,3,1.04
1972-04-01,1972,4,1.11
1972-05-01,1972,5,1.47
1972-06-01,1972,6,1.93
1972-07-01,1972,7,2.45
1972-08-01,1972,8,2.25
1972-09-01,1972,9,2.06
1972-10-01,1972,10,1.7
1972-11-01,1972,11,1.94
1972-12-01,1972,12,1.91
1973-01-01,1973,1,1.58
1973-02-01,1973,2,0.8
1973-03-01,1973,3,-0.02
1973-04-01,1973,4,-0.55
1973-05-01,1973,5,-0.93
1973-06-01,1973,6,-0.98
1973-07-01,1973,7,-1.1
1973-08-01,1973,8,-1.01
1973-09-01,1973,9,-0.94
1973-10-01,1973,10,-0.8
1973-11-01,1973,11,-0.77
1973-12-01,1973,12,-0.84
1974-01-01,1974,1,-0.85
1974-02-01,1974,2,-0.67
1974-03-01,1974,3,-0.39
1974-04-01,1974,4,-0.01
1974-05-01,1974,5,-0.03
1974-06-01,1974,6,-0.09
1974-07-01,1974,7,-0.22
1974-08-01,1974,8,-0.19
1974-09-01,1974,9,-0.37
1974-10-01,1974,10,-0.58
1974-11-01,1974,11,-0.88
1974-12-01,1974,12,-0.85
1975-01-01,1975,1,-0.83
1975-02-01,1975,2,-0.37
1975-03-01,1975,3,-0.02
1975-04-01,1975,4,0.03
1975-05-01,1975,5,-0.37
1975-06-01,1975,6,-0.68
1975-07-01,1975,7,-0.72
1975-08-01,1975,8,-0.78
1975-09-01,1975,9,-1.1
1975-10-01,1975,10,-1.56
1975-11-01,1975,11,-1.69
1975-12-01,1975,12,-1.44
1976-01-01,1976,1,-0.84
1976-02-01,1976,2,-0.3
1976-03-01,1976,3,0.15
1976-04-01,1976,4,0.63
1976-05-01,1976,5,1.23
1976-06-01,1976,6,1.73
1976-07-01,1976,7,1.85
1976-08-01,1976,8,1.62
1976-09-01,1976,9,1.24
1976-10-01,1976,10,0.95
1976-11-01,1976,11,0.77
1976-12-01,1976,12,0.66
1977-01-01,1977,1,0.43
1977-02-01,1977,2,0.25
1977-03-01,1977,3,0.01
1977-04-01,1977,4,-0.15
1977-05-01,1977,5,-0.22
1977-06-01,1977,6,-0.18
1977-07-01,1977,7,-0.24
1977-08-01,1977,8,-0.44
1977-09-01,1977,9,-0.45
1977-10-01,1977,10,-0.34
1977-11-01,1977,11,-0.19
1977-12-01,1977,12,-0.19
1978-01-01,1978,1,-0.1
1978-02-01,1978,2,-0.21
1978-03-01,1978,3,-0.31
1978-04-01,1978,4,-0.56
1978-05-01,1978,5,-0.58
1978-06-01,1978,6,-0.62
1978-07-01,1978,7,-0.73
1978-08-01,1978,8,-0.67
1978-09-01,1978,9,-0.69
1978-10-01,1978,10,-0.29
1978-11-01,1978,11,0.0
1978-12-01,1978,12,0.35
1979-01-01,1979,1,0.25
1979-02-01,1979,2,0.13
1979-03-01,1979,3,0.15
1979-04-01,1979,4,0.33
1979-05-01,1979,5,0.54
1979-06-01,1979,6,0.42
1979-07-01,1979,7,0.38
1979-08-01,1979,8,0.43
1979-09-01,1979,9,0.65
1979-10-01,1979,10,0.68
1979-11-01,1979,11,0.48
1979-12-01,1979,12,0.22
1980-01-01,1980,1,0.11
1980-02-01,1980,2,0.24
1980-03-01,1980,3,0.34
1980-04-01,1980,4,0.37
1980-05-01,1980,5,0.22
1980-06-01,1980,6,-0.05
1980-07-01,1980,7,-0.13
1980-08-01,1980,8,-0.15
1980-09-01,1980,9,-0.05
1980-10-01,1980,10,-0.06
1980-11-01,1980,11,-0.13
1980-12-01,1980,12,-0.53
1981-01-01,1981,1,-0.74
1981-02-01,1981,2,-0.74
1981-03-01,1981,3,-0.48
1981-04-01,1981,4,-0.34
1981-05-01,1981,5,-0.38
1981-06-01,1981,6,-0.41
1981-07-01,1981,7,-0.55
1981-08-01,1981,8,-0.63
1981-09-01,1981,9,-0.56
1981-10-01,1981,10,-0.4
1981-11-01,1981,11,-0.24
1981-12-01,1981,12,-0.14
1982-01-01,1982,1,-0.17
1982-02-01,1982,2,-0.45
1982-03-01,1982,3,-0.62
1982-04-01,1982,4,-0.45
1982-05-01,1982,5,0.0
1982-06-01,1982,6,0.45
1982-07-01,1982,7,0.8
1982-08-01,1982,8,1.16
1982-09-01,1982,9,1.58
1982-10-01,1982,10,2.26
1982-11-01,1982,11,2.83
1982-12-01,1982,12,3.11
1983-01-01,1983,1,2.85
1983-02-01,1983,2,2.63
1983-03-01,1983,3,2.87
1983-04-01,1983,4,3.48
1983-05-01,1983,5,4.13
1983-06-01,1983,6,4.32
1983-07-01,1983,7,3.99
1983-08-01,1983,8,3.0
1983-09-01,1983,9,2.03
1983-10-01,1983,10,1.13
1983-11-01,1983,11,0.7
1983-12-01,1983,12,0.24
1984-01-01,1984,1,-0.11
1984-02-01,1984,2,-0.38
1984-03-01,1984,3,-0.32
1984-04-01,1984,4,-0.39
1984-05-01,1984,5,-0.43
1984-06-01,1984,6,-0.54
1984-07-01,1984,7,-0.38
1984-08-01,1984,8,-0.12
1984-09-01,1984,9,-0.1
1984-10-01,1984,10,-0.02
1984-11-01,1984,11,-0.18
1984-12-01,1984,12,-0.27
1985-01-01,1985,1,-0.61
1985-02-01,1985,2,-0.69
1985-03-01,1985,3,-0.87
1985-04-01,1985,4,-1.03
1985-05-01,1985,5,-1.18
1985-06-01,1985,6,-1.16
1985-07-01,1985,7,-0.97
1985-08-01,1985,8,-0.9
1985-09-01,1985,9,-0.77
1985-10-01,1985,10,-0.69
1985-11-01,1985,11,-0.53
1985-12-01,1985,12,-0.26
1986-01-01,1986,1,0.0
1986-02-01,1986,2,-0.11
1986-03-01,1986,3,-0.41
1986-04-01,1986,4,-0.79
1986-05-01,1986,5,-0.92
1986-06-01,1986,6,-0.82
1986-07-01,1986,7,-0.5
1986-08-01,1986,8,-0.09
1986-09-01,1986,9,0.17
1986-10-01,1986,10,0.3
1986-11-01,1986,11,0.42
1986-12-01,1986,12,0.69
1987-01-01,1987,1,0.97
1987-02-01,1987,2,1.3
1987-03-01,1987,3,1.48
1987-04-01,1987,4,1.63
1987-05-01,1987,5,1.46
1987-06-01,1987,6,1.27
1987-07-01,1987,7,1.0
1987-08-01,1987,8,1.03
1987-09-01,1987,9,1.18
1987-10-01,1987,10,1.27
1987-11-01,1987,11,1.1
1987-12-01,1987,12,0.65
1988-01-01,1988,1,0.24
1988-02-01,1988,2,-0.2
1988-03-01,1988,3,-0.5
1988-04-01,1988,4,-0.84
1988-05-01,1988,5,-1.14
1988-06-01,1988,6,-1.33
1988-07-01,1988,7,-1.44
1988-08-01,1988,8,-1.33
1988-09-01,1988,9,-1.26
1988-10-01,1988,10,-1.11
1988-11-01,1988,11,-0.95
1988-12-01,1988,12,-0.63
1989-01-01,1989,1,-0.26
1989-02-01,1989,2,0.0
1989-03-01,1989,3,0.05
1989-04-01,1989,4,-0.35
1989-05-01,1989,5,-0.68
1989-06-01,1989,6,-0.93
1989-07-01,1989,7,-0.67
1989-08-01,1989,8,-0.54
1989-09-01,1989,9,-0.42
1989-10-01,1989,10,-0.42
1989-11-01,1989,11,-0.36
1989-12-01,1989,12,-0.33
1990-01-01,1990,1,-0.23
