fecha,año,mes,precipitacion_mm
1950-01-01,1950,1,155.30981700861688
1950-02-01,1950,2,164.95582490201986
1950-03-01,1950,3,158.18062280836196
1950-04-01,1950,4,221.68799010336681
1950-05-01,1950,5,123.80281944738002
1950-06-01,1950,6,116.7611032972076
1950-07-01,1950,7,91.29759118505278
1950-08-01,1950,8,68.11875926940019
1950-09-01,1950,9,122.30801657896049
1950-10-01,1950,10,112.07840367373126
1950-11-01,1950,11,69.77987497436122
1950-12-01,1950,12,100.61187758812117
1951-01-01,1951,1,90.78907839411166
1951-02-01,1951,2,156.50803973253775
1951-03-01,1951,3,139.46403382053123
1951-04-01,1951,4,221.4488751969084
1951-05-01,1951,5,103.33028047805912
1951-06-01,1951,6,95.5464825728163
1951-07-01,1951,7,60.986332545816474
1951-08-01,1951,8,75.43634618487927
1951-09-01,1951,9,83.38715728489117
1951-10-01,1951,10,127.17908404328958
1951-11-01,1951,11,114.50314668561494
1951-12-01,1951,12,194.96259619419436
1952-01-01,1952,1,200.9024975454265
1952-02-01,1952,2,185.60780119195246
1952-03-01,1952,3,253.95759746166996
1952-04-01,1952,4,232.96549641914208
1952-05-01,1952,5,137.39275742434128
1952-06-01,1952,6,113.76436655825928
1952-07-01,1952,7,73.63325905824213
1952-08-01,1952,8,54.541138984221824
1952-09-01,1952,9,88.32860683449952
1952-10-01,1952,10,119.53359430147009
1952-11-01,1952,11,109.61886753051732
1952-12-01,1952,12,95.39524188259416
1953-01-01,1953,1,191.6055956669316
1953-02-01,1953,2,266.03601341928845
1953-03-01,1953,3,321.5273647468734
1953-04-01,1953,4,311.98620390033267
1953-05-01,1953,5,152.8235542187827
1953-06-01,1953,6,104.78510198787308
1953-07-01,1953,7,81.19130065782616
1953-08-01,1953,8,70.1745867105147
1953-09-01,1953,9,129.08625415669832
1953-10-01,1953,10,118.24703616959484
1953-11-01,1953,11,131.35581413349294
1953-12-01,1953,12,62.64856269636099
1954-01-01,1954,1,187.07608208857425
1954-02-01,1954,2,110.31134583719943
1954-03-01,1954,3,268.0364492236573
1954-04-01,1954,4,184.1337489593872
1954-05-01,1954,5,96.27727254314554
1954-06-01,1954,6,79.5603826213314
1954-07-01,1954,7,71.68993482961599
1954-08-01,1954,8,33.78617175620973
1954-09-01,1954,9,56.72781322553495
1954-10-01,1954,10,146.29287276866881
1954-11-01,1954,11,106.75342381409702
1954-12-01,1954,12,134.74546368938178
1955-01-01,1955,1,155.67307198663593
1955-02-01,1955,2,232.30537721207878
1955-03-01,1955,3,252.0757220862302
1955-04-01,1955,4,140.88161412570662
1955-05-01,1955,5,119.66782611531735
1955-06-01,1955,6,66.04317243819204
1955-07-01,1955,7,86.71586468094284
1955-08-01,1955,8,47.796246078833455
1955-09-01,1955,9,62.71260012190892
1955-10-01,1955,10,100.39432911741748
1955-11-01,1955,11,125.43203572188843
1955-12-01,1955,12,73.72437129625602
1956-01-01,1956,1,166.02871862387565
1956-02-01,1956,2,239.11105851052594
1956-03-01,1956,3,275.55857617403217
1956-04-01,1956,4,227.1794851135865
1956-05-01,1956,5,124.54336891405961
1956-06-01,1956,6,94.91124065640916
1956-07-01,1956,7,117.8319002728412
1956-08-01,1956,8,72.71818637311046
1956-09-01,1956,9,86.60337405059461
1956-10-01,1956,10,169.53433153380936
1956-11-01,1956,11,65.18768567432276
1956-12-01,1956,12,103.6522086816499
1957-01-01,1957,1,152.02043652736563
1957-02-01,1957,2,303.34472168162915
1957-03-01,1957,3,322.3093912785364
1957-04-01,1957,4,300.3464243812578
1957-05-01,1957,5,150.2563880929221
1957-06-01,1957,6,90.09671140539102
